method,head,seed,selected_device,batch_settings,output_artifact_paths,cuda_oom,cpu_fallback,search_elapsed_sec,started_at_utc,ended_at_utc
shared_search,3,0,cuda,"{'max_length': 128, 'select_text_count': 4, 'num_groups': 256, 'group_size': 32, 'topk': 2, 'concurrency_level': 6}","{'rpedr_single_best': 'results/multi_head_replication_distilgpt2_round2/per_head/rpedr_single_best_seed0/head_3', 'rpedr_full': 'results/multi_head_replication_distilgpt2_round2/per_head/rpedr_full_seed0/head_3'}",False,False,24.550614199997653,2026-03-15T23:34:13.918645+00:00,2026-03-15T23:34:39.451490+00:00
shared_search,4,0,cuda,"{'max_length': 128, 'select_text_count': 4, 'num_groups': 256, 'group_size': 32, 'topk': 2, 'concurrency_level': 6}","{'rpedr_single_best': 'results/multi_head_replication_distilgpt2_round2/per_head/rpedr_single_best_seed0/head_4', 'rpedr_full': 'results/multi_head_replication_distilgpt2_round2/per_head/rpedr_full_seed0/head_4'}",False,False,23.81576280000081,2026-03-15T23:34:13.918645+00:00,2026-03-15T23:34:39.868497+00:00
shared_search,5,0,cuda,"{'max_length': 128, 'select_text_count': 4, 'num_groups': 256, 'group_size': 32, 'topk': 2, 'concurrency_level': 6}","{'rpedr_single_best': 'results/multi_head_replication_distilgpt2_round2/per_head/rpedr_single_best_seed0/head_5', 'rpedr_full': 'results/multi_head_replication_distilgpt2_round2/per_head/rpedr_full_seed0/head_5'}",False,False,26.835604600000806,2026-03-15T23:34:13.918645+00:00,2026-03-15T23:34:41.994204+00:00
shared_search,3,1,cuda,"{'max_length': 128, 'select_text_count': 4, 'num_groups': 256, 'group_size': 32, 'topk': 2, 'concurrency_level': 6}","{'rpedr_single_best': 'results/multi_head_replication_distilgpt2_round2/per_head/rpedr_single_best_seed1/head_3', 'rpedr_full': 'results/multi_head_replication_distilgpt2_round2/per_head/rpedr_full_seed1/head_3'}",False,False,26.148213000000396,2026-03-15T23:34:13.919647+00:00,2026-03-15T23:34:42.541604+00:00
shared_search,5,1,cuda,"{'max_length': 128, 'select_text_count': 4, 'num_groups': 256, 'group_size': 32, 'topk': 2, 'concurrency_level': 6}","{'rpedr_single_best': 'results/multi_head_replication_distilgpt2_round2/per_head/rpedr_single_best_seed1/head_5', 'rpedr_full': 'results/multi_head_replication_distilgpt2_round2/per_head/rpedr_full_seed1/head_5'}",False,False,26.381096599998273,2026-03-15T23:34:13.920654+00:00,2026-03-15T23:34:42.600792+00:00
shared_search,4,1,cuda,"{'max_length': 128, 'select_text_count': 4, 'num_groups': 256, 'group_size': 32, 'topk': 2, 'concurrency_level': 6}","{'rpedr_single_best': 'results/multi_head_replication_distilgpt2_round2/per_head/rpedr_single_best_seed1/head_4', 'rpedr_full': 'results/multi_head_replication_distilgpt2_round2/per_head/rpedr_full_seed1/head_4'}",False,False,26.384758899999724,2026-03-15T23:34:13.919647+00:00,2026-03-15T23:34:42.600792+00:00
shared_search,3,2,cuda,"{'max_length': 128, 'select_text_count': 4, 'num_groups': 256, 'group_size': 32, 'topk': 2, 'concurrency_level': 6}","{'rpedr_single_best': 'results/multi_head_replication_distilgpt2_round2/per_head/rpedr_single_best_seed2/head_3', 'rpedr_full': 'results/multi_head_replication_distilgpt2_round2/per_head/rpedr_full_seed2/head_3'}",False,False,13.73850179999863,2026-03-15T23:34:39.466491+00:00,2026-03-15T23:34:53.615951+00:00
shared_search,4,2,cuda,"{'max_length': 128, 'select_text_count': 4, 'num_groups': 256, 'group_size': 32, 'topk': 2, 'concurrency_level': 6}","{'rpedr_single_best': 'results/multi_head_replication_distilgpt2_round2/per_head/rpedr_single_best_seed2/head_4', 'rpedr_full': 'results/multi_head_replication_distilgpt2_round2/per_head/rpedr_full_seed2/head_4'}",False,False,13.376778800000466,2026-03-15T23:34:39.878497+00:00,2026-03-15T23:34:53.661163+00:00
shared_search,5,2,cuda,"{'max_length': 128, 'select_text_count': 4, 'num_groups': 256, 'group_size': 32, 'topk': 2, 'concurrency_level': 6}","{'rpedr_single_best': 'results/multi_head_replication_distilgpt2_round2/per_head/rpedr_single_best_seed2/head_5', 'rpedr_full': 'results/multi_head_replication_distilgpt2_round2/per_head/rpedr_full_seed2/head_5'}",False,False,12.706754499999079,2026-03-15T23:34:42.007709+00:00,2026-03-15T23:34:55.172314+00:00
